ISCI Code,Title,Media,Market(DMA),Length,Category,Value Prop,Drive Link
LRTU35101,Tiny Check 25 TUC,TV,TUC,15,Results,,https://drive.google.com/file/d/1NyJXaVW79_NJnB_NDILNiMH2HlveR3pn/view?usp=sharing
LRTU35158,Help REV25 [SP],TV,TUC,15,Auto Accidents,,https://drive.google.com/file/d/1DCHSpsWjEcp0A6rU53ZkKNG9f2xNwgQ_/view?usp=sharing
LRTU36034,Best 11 Years TUC2r,TV,TUC,15,Brand,Experience,https://drive.google.com/file/d/1jaIDVPIuVG10iAWHTNIaBEM_c99fSUg_/view?usp=sharing
LRTU36062,Legal Genie TUC,TV,TUC,15,Brand,Experience,https://drive.google.com/file/d/1yPSEjjxund-OpqUVvKtXFWrcmP3dzSqs/view?usp=sharing
LRTU36072,Done it again TUC,TV,TUC,15,Auto Accidents,,https://drive.google.com/file/d/14ojyFNtRU220XRXDdC6JKdhoBwI2iCdN/view?usp=sharing
LRTU36082,Accidents Happen Fast TUC,TV,TUC,15,Auto Accidents,,https://drive.google.com/file/d/1aLJmNuXE0Qlcjhqku9a54_k_ZNgl6Dhn/view?usp=sharing
LRYM35019,YUMA LAW 30,Radio,YUM,30,Local,Local,https://drive.google.com/file/d/1Dg-N-pDUwwAKuprnVKlJBNsuZRRmhi2Q/view?usp=sharing
LRYM34013,Big Rigs23,TV,YUM,15,Trucking,Big Cases,https://drive.google.com/file/d/1vJXfvdAY2tD4zR4NrouSfZjFIG-GPogL/view
LRYM34021,Check List,TV,YUM,15,Results,,https://drive.google.com/file/d/13xgtpTqI24ePLWldcaf8_OLDd58Fzxh7/view
LRYM34107,Settlements2,TV,YUM,15,Results,Results,https://drive.google.com/file/d/16sWtppfO-2t8FQrzOpgkGlHuDvWpxzZz/view
LRYM35052,Ins Stop YMA,TV,YUM,15,Auto Accidents,,https://drive.google.com/file/d/1p_TjepoDIq6luvkoWUAYdNERNyTlHLcc/view?usp=sharing
LRYM35060,Wreck Check YMA,TV,YUM,15,Auto Accidents,Aggressive,https://drive.google.com/file/d/1CJrCqDUiC-5NLR5HRjnM1mMZZqfqZjLv/view?usp=sharing
LRYM35068,Weekend25 YMA,TV,YUM,15,Auto Accidents,,https://drive.google.com/file/d/1J0SqtPIgMP0zqiGiqEOpUzZzI8m5Qa26/view?usp=sharing
LRYM35076,Overnight25 YMA,TV,YUM,15,Auto Accidents,,https://drive.google.com/file/d/1zAkarqrdkH-a0QqTYPWWwcKTjH86JzYx/view?usp=sharing
LRYM35086,Get LNR25 YMA,TV,YUM,15,Auto Accidents,,https://drive.google.com/file/d/1eBbuhiaSKl3ewChpF4qF9hbetIa9u-vP/view?usp=sharing
LRYM35094,If your wreck 25 YMA,TV,YUM,15,Auto Accidents,Aggressive,https://drive.google.com/file/d/10i7C4MwDxHTXKGf63lYa6LD-af3d-Jke/view?usp=sharing
LRYM35102,Tiny Check 25 YMA,TV,YUM,15,Results,,https://drive.google.com/file/d/18MwePyLNGk--xMRaXaOx1YdawbLTBS7l/view?usp=sharing
LRYM35160,Help REV25 [SP],TV,YUM,15,Auto Accidents,,https://drive.google.com/file/d/1X00UjFu37lEY2vXJAHRteVETKjwqbYWe/view?usp=sharing
LRYM36063,Legal Genie YMA,TV,YUM,15,Brand,Experience,https://drive.google.com/file/d/1GNmsfgd3oJSkbfSMFhlC3e_jkAPlTo_V/view?usp=sharing
LRYM36073,Done it again YMA,TV,YUM,15,Auto Accidents,,https://drive.google.com/file/d/1DTAVVvFfBPwEIpM6ScCkqjcWVXhFpIFa/view?usp=sharing
LRYM36083,Accidents Happen Fast YMA,TV,YUM,15,Auto Accidents,,https://drive.google.com/file/d/1rMcU98gHBpWzF-Ta9BhedWs_ctilnSyR/view?usp=sharing
