Frame.io File,Spot #,Code,Concept,Length,ISCI Title,OKC ISCI,TUL ISCI
View PDV 1119 AA 4 Repeater 10 (R).mp4,1119,AA,4 Repeater (R),10,4 Repeater (R)_10,OKCPDV2610005T,TULPDV2610005T
View PDV 1120 AA NFG Dollar Amounts Boss (R).mp4,1120,AA,NFG Dollar Amounts Boss (R),30,NFG Dollar Amounts Boss (R)_30,OKCPDV2630011T,TULPDV2630011T
View PDV 1121 AA Ticks Me Off Lawyer (R).mp4,1121,AA,Ticks Me Off Lawyer (R),30,Ticks Me Off Lawyer (R)_30,OKCPDV2630012T,TULPDV2630012T
View PDV 1122 AA Motorcycle Law Lawyer (R).mp4,1122,AA,Motorcycle Law Lawyer (R),30,Motorcycle Law Lawyer (R)_30,OKCPDV2630013T,TULPDV2630013T
View PDV 1123 AA Motorcycle Law Lawyer 10 (R).mp4,1123,AA,Motorcycle Law Lawyer (R),10,Motorcycle Law Lawyer (R)_10,OKCPDV2610006T,TULPDV2610006T
View PDV 1124 AA Fight Tough Lawyer (R).mp4,1124,AA,Fight Tough Lawyer (R),30,Fight Tough Lawyer (R)_30,OKCPDV2630014T,TULPDV2630014T
View PDV 1125 AA Fight Tough Lawyer 10 (R).mp4,1125,AA,Fight Tough Lawyer (R),10,Fight Tough Lawyer (R)_10,OKCPDV2610007T,TULPDV2610007T
View PDV 1126 AA NFG Fast Response 10 (R).mp4,1126,AA,NFG Fast Response (R),10,NFG Fast Response (R)_10,OKCPDV2610008T,TULPDV2610008T
View PDV 1127 AA No BS (R).mp4,1127,AA,No BS (R),30,No BS (R)_30,OKCPDV2630015T,TULPDV2630015T
View PDV 1128 AA Don't Mess Around (R).mp4,1128,AA,Don't Mess Around (R),30,Don't Mess Around (R)_30,OKCPDV2630016T,TULPDV2630016T
View PDV 1129 AA Frenemies (R).mp4,1129,AA,Frenemies (R),30,Frenemies (R)_30,OKCPDV2630017T,TULPDV2630017T
View PDV 1130 AA Real Money (R).mp4,1130,AA,Real Money (R),30,Real Money (R)_30,OKCPDV2630018T,TULPDV2630018T
View PDV 1131 AA Real Money 10 (R).mp4,1131,AA,Real Money (R),10,Real Money (R)_10,OKCPDV2610009T,TULPDV2610009T
View PDV 1132 AA Good Reviews Matter (R).mp4,1132,AA,Good Reviews Matter (R),30,Good Reviews Matter (R)_30,OKCPDV2630019T,TULPDV2630019T
View PDV 1133 AA Good Reviews Matter 10 (R).mp4,1133,AA,Good Reviews Matter (R),10,Good Reviews Matter (R)_10,OKCPDV2610010T,TULPDV2610010T
View PDV 1134 AA Be Suspicious (R).mp4,1134,AA,Be Suspicious (R),30,Be Suspicious (R)_30,OKCPDV2630020T,TULPDV2630020T
View PDV 1135 AA Be Suspicious 10 (R).mp4,1135,AA,Be Suspicious (R),10,Be Suspicious (R)_10,OKCPDV2610011T,TULPDV2610011T
View PDV 1136 AA Money's Tight NFG (R).mp4,1136,AA,Money's Tight NFG (R),30,Money's Tight NFG (R)_30,OKCPDV2630021T,TULPDV2630021T
View PDV 1137 AA Money's Tight NFG 10 (R).mp4,1137,AA,Money's Tight NFG (R),10,Money's Tight NFG (R)_10,OKCPDV2610012T,TULPDV2610012T
View PDV 1138 AA Money Difference (R).mp4,1138,AA,Money Difference (R),30,Money Difference (R)_30,OKCPDV2630022T,TULPDV2630022T
View PDV 1139 AA Why We Win (R).mp4,1139,AA,Why We Win (R),30,Why We Win (R)_30,OKCPDV2630023T,TULPDV2630023T
View PDV 1140 AA Why We Win 10 (R).mp4,1140,AA,Why We Win (R),10,Why We Win (R)_10,OKCPDV2610013T,TULPDV2610013T
View PDV 1141 AA 93 Percent (R).mp4,1141,AA,93 Percent (R),30,93 Percent (R)_30,OKCPDV2630024T,TULPDV2630024T
View PDV 1142 AA 93 Percent 10 (R).mp4,1142,AA,93 Percent (R),10,93 Percent (R)_10,OKCPDV2610014T,TULPDV2610014T
View PDV 1143 AA Pepper Wins You Win (R).mp4,1143,AA,Pepper Wins You Win (R),30,Pepper Wins You Win (R)_30,OKCPDV2630025T,TULPDV2630025T
View PDV 1144 AA Wins Anytime Repeater (R).mp4,1144,AA,Wins Anytime Repeater (R),30,Wins Anytime Repeater (R)_30,OKCPDV2630026T,TULPDV2630026T
View PDV 1145 AA Wins Anytime Repeater 10 (R).mp4,1145,AA,Wins Anytime Repeater (R),10,Wins Anytime Repeater (R)_10,OKCPDV2610015T,TULPDV2610015T
View PDV 1146 AA What Do You Do (R).mp4,1146,AA,What Do You Do (R),30,What Do You Do (R)_30,OKCPDV2630027T,TULPDV2630027T
View PDV 1147 AA OK Born and Raised (R).mp4,1147,AA,OK Born and Raised (R),30,OK Born and Raised (R)_30,OKCPDV2630028T,TULPDV2630028T
View PDV 1148 AA OK Born and Raised 10 (R).mp4,1148,AA,OK Born and Raised (R),10,OK Born and Raised (R)_10,OKCPDV2610016T,TULPDV2610016T
View PDV 1149 AA Don’t DIY (R).mp4,1149,AA,Don’t DIY (R),30,Don’t DIY (R)_30,OKCPDV2630029T,TULPDV2630029T
View PDV 1150 AA Don’t DIY 10 (R).mp4,1150,AA,Don’t DIY (R),10,Don’t DIY (R)_10,OKCPDV2610017T,TULPDV2610017T
View PDV 1151 AA Local Success Story (R).mp4,1151,AA,Local Success Story (R),30,Local Success Story (R)_30,OKCPDV2630030T,TULPDV2630030T
View PDV 1152 AA Local Success Story 10 (R).mp4,1152,AA,Local Success Story (R),10,Local Success Story (R)_10,OKCPDV2610018T,TULPDV2610018T
View PDV 1153 AA Danger You Can't See (R).mp4,1153,AA,Danger You Can't See (R),30,Danger You Can't See (R)_30,OKCPDV2630031T,TULPDV2630031T
View PDV 1154 AA Danger You Can't See 10 (R).mp4,1154,AA,Danger You Can't See (R),10,Danger You Can't See (R)_10,OKCPDV2610019T,TULPDV2610019T
View PDV 1155 AA Poser or Pro (R).mp4,1155,AA,Poser or Pro (R),30,Poser or Pro (R)_30,OKCPDV2630032T,TULPDV2630032T
View PDV 1156 AA Play It Smart (R).mp4,1156,AA,Play It Smart (R),30,Play It Smart (R)_30,OKCPDV2630033T,TULPDV2630033T
View PDV 1157 AA Play It Smart 10 (R).mp4,1157,AA,Play It Smart (R),10,Play It Smart (R)_10,OKCPDV2610020T,TULPDV2610020T
